GameID,Date,Time,Live,AwayOdds,HomeOdds
72663810,2025-04-08,20:10:51.747602,False,2.45,1.58
71198106,2025-04-08,20:10:51.749392,False,1.06,10.5
72333226,2025-04-08,20:10:51.788725,False,13.0,1.04
40761156,2025-04-08,20:10:51.846722,False,7.5,1.1
19771214,2025-04-08,20:10:51.848988,False,1.98,1.86
8507215,2025-04-08,20:10:51.927187,False,2.09,1.78
15936319,2025-04-08,20:10:51.929294,False,1.49,2.7
33951125,2025-04-08,20:10:51.987609,False,8.75,1.08
30846750,2025-04-08,20:10:51.989773,False,1.23,4.4
10824578,2025-04-08,20:10:52.048239,False,7.0,1.11
62437785,2025-04-08,20:10:52.050273,False,1.44,2.87
