GameID,Date,Time,Live,AwayOdds,HomeOdds
72663810,2025-04-08,09:10:52.229084,False,2.5,1.56
71198106,2025-04-08,09:10:52.231317,False,1.09,8.0
72333226,2025-04-08,09:10:52.270834,False,13.0,1.04
40761156,2025-04-08,09:10:52.329429,False,5.85,1.15
19771214,2025-04-08,09:10:52.331859,False,1.9,1.94
8507215,2025-04-08,09:10:52.370856,False,2.16,1.73
15936319,2025-04-08,09:10:52.429538,False,1.56,2.5
33951125,2025-04-08,09:10:52.431861,False,6.8,1.12
30846750,2025-04-08,09:10:52.490612,False,1.32,3.55
10824578,2025-04-08,09:10:52.549300,False,6.4,1.13
62437785,2025-04-08,09:10:52.551642,False,1.44,2.91
