GameID,Date,Time,Live,AwayOdds,HomeOdds
72663810,2025-04-08,15:10:52.976568,False,2.42,1.59
71198106,2025-04-08,15:10:52.978781,False,1.08,8.5
72333226,2025-04-08,15:10:53.018489,False,13.0,1.04
40761156,2025-04-08,15:10:53.077191,False,6.1,1.14
19771214,2025-04-08,15:10:53.079599,False,2.05,1.81
8507215,2025-04-08,15:10:53.118365,False,2.26,1.67
15936319,2025-04-08,15:10:53.176975,False,1.5,2.67
33951125,2025-04-08,15:10:53.179320,False,7.0,1.11
30846750,2025-04-08,15:10:53.238136,False,1.23,4.4
10824578,2025-04-08,15:10:53.296814,False,7.5,1.1
62437785,2025-04-08,15:10:53.299241,False,1.45,2.85
