GameID,Date,Time,Live,AwayOdds,HomeOdds
72663810,2025-04-08,22:55:53.013633,False,2.66,1.5
71198106,2025-04-08,22:55:53.015570,False,1.08,8.75
72333226,2025-04-08,22:55:53.055045,False,15.0,1.03
40761156,2025-04-08,22:55:53.056772,False,7.5,1.1
19771214,2025-04-08,22:55:53.115260,False,1.72,2.18
8507215,2025-04-08,22:55:53.193427,False,2.03,1.82
15936319,2025-04-08,22:55:53.195549,False,1.43,2.92
33951125,2025-04-08,22:55:53.253821,False,4.1,1.25
30846750,2025-04-08,22:55:53.255966,False,1.23,4.4
10824578,2025-04-08,22:55:53.314286,False,7.0,1.11
62437785,2025-04-08,22:55:53.316378,False,1.47,2.76
